group;ISOweek;observed;delaycorrected;N
85P;2020-W22;340;340;127481.285714286
85P;2020-W23;341;341;127558.571428571
85P;2020-W24;367;367;127667.571428571
85P;2020-W25;352;352;127766.428571429
85P;2020-W26;350;350;127889.714285714
85P;2020-W27;370;370;127944.571428571
85P;2020-W28;352;352;127992.428571429
85P;2020-W29;379;379;128075.285714286
85P;2020-W30;335;335;128153.714285714
85P;2020-W31;349;349;128255.857142857
85P;2020-W32;354;354;128332.285714286
85P;2020-W33;334;334;128420.714285714
85P;2020-W34;387;387;128505.428571429
85P;2020-W35;343;343;128576.714285714
85P;2020-W36;387;387;128632
85P;2020-W37;369;369;128680.714285714
85P;2020-W38;385;385;128748
85P;2020-W39;350;350;128806.857142857
85P;2020-W40;369;369;128905.142857143
85P;2020-W41;352;352;128986.428571429
85P;2020-W42;337;337;129032.571428571
85P;2020-W43;401;401;129020.857142857
85P;2020-W44;343;343;129036.285714286
85P;2020-W45;360;360;129085.857142857
85P;2020-W46;390;390;129108.285714286
85P;2020-W47;411;411;129112.428571429
85P;2020-W48;392;392;129077.285714286
85P;2020-W49;405;405;129038.714285714
85P;2020-W50;438;438;128992.571428571
85P;2020-W51;490;490;128950.285714286
85P;2020-W52;490;490;128860
85P;2020-W53;519;519;128757.714285714
85P;2021-W01;451;451;128708.857142857
85P;2021-W02;471;471;128645.714285714
85P;2021-W03;508;508;128603.571428571
85P;2021-W04;458;458;128552.142857143
85P;2021-W05;474;474;128529.571428571
85P;2021-W06;409;409;128550
85P;2021-W07;390;390;128598.428571429
85P;2021-W08;390;390;128644.714285714
85P;2021-W09;367;367;128760
85P;2021-W10;363;363;128895
85P;2021-W11;308;308;129060.428571429
85P;2021-W12;368;368;129237.142857143
85P;2021-W13;341;341;129367.571428571
85P;2021-W14;359;359;129525.857142857
85P;2021-W15;376;376;129644
85P;2021-W16;382;382;129769.428571429
85P;2021-W17;377;377;129872
85P;2021-W18;410;410;129968.857142857
85P;2021-W19;395;395;130084
85P;2021-W20;369;369;130184.571428571
85P;2021-W21;354;354;130285.428571429
85P;2021-W22;387;387;130442
85P;2021-W23;395;395;130522.714285714
85P;2021-W24;380;380;130600.571428571
85P;2021-W25;379;379;130683.714285714
85P;2021-W26;426;426;130755
85P;2021-W27;361;361;130779.428571429
85P;2021-W28;396;396;130849.285714286
85P;2021-W29;371;371;130903.571428571
85P;2021-W30;383;383;130966.857142857
85P;2021-W31;418;418;131022
85P;2021-W32;395;395;131095.142857143
85P;2021-W33;396;396;131194
85P;2021-W34;377;377;131260.857142857
85P;2021-W35;399;399;131300
85P;2021-W36;412;412;131337.857142857
85P;2021-W37;387;387;131400.714285714
85P;2021-W38;368;368;131526
85P;2021-W39;418;418;131633.285714286
85P;2021-W40;370;370;131691
85P;2021-W41;434;434;131744.857142857
85P;2021-W42;455;455;131680
85P;2021-W43;425;425;131663.714285714
85P;2021-W44;427;427;131664
85P;2021-W45;455;455;131663.857142857
85P;2021-W46;405;405;131623.285714286
85P;2021-W47;422;422;131615.142857143
85P;2021-W48;447;447;131633.571428571
85P;2021-W49;460;460;131616.142857143
85P;2021-W50;490;490;131579.142857143
85P;2021-W51;522;522;131477
85P;2021-W52;487;487;131378
85P;2022-W01;509;509;131343.857142857
85P;2022-W02;446;446;131305.571428571
85P;2022-W03;452;452;131287.571428571
85P;2022-W04;431;431;131292.285714286
85P;2022-W05;467;467;131337.285714286
85P;2022-W06;524;524;131333.571428571
85P;2022-W07;488;488;131312.142857143
85P;2022-W08;519;519;131315.857142857
85P;2022-W09;472;472;131358
85P;2022-W10;489;489;131377.714285714
85P;2022-W11;446;446;131467.428571429
85P;2022-W12;473;473;131524
85P;2022-W13;443;443;131592.142857143
85P;2022-W14;421;421;131704.857142857
85P;2022-W15;451;451;131826.142857143
85P;2022-W16;387;387;131942.285714286
85P;2022-W17;414;414;132088.857142857
85P;2022-W18;397;397;132179.857142857
85P;2022-W19;347;347;132336.285714286
85P;2022-W20;404;404;132510
85P;2022-W21;357;357;132664.857142857
85P;2022-W22;378;378;132811.714285714
85P;2022-W23;347;347;132932.571428571
85P;2022-W24;369;369;133090.571428571
85P;2022-W25;404;404;133182.714285714
85P;2022-W26;386;386;133286.142857143
85P;2022-W27;384;384;133398.571428571
85P;2022-W28;353;353;133474.142857143
85P;2022-W29;400;400;133569.857142857
85P;2022-W30;371;371;133683.428571429
85P;2022-W31;374;374;133827
85P;2022-W32;384;384;133933.571428571
85P;2022-W33;416;416;134025.571428571
85P;2022-W34;409;409;134066.857142857
85P;2022-W35;375;375;134154.428571429
85P;2022-W36;360;360;134231.428571429
85P;2022-W37;386;386;134330.714285714
85P;2022-W38;372;372;134394.285714286
85P;2022-W39;376;376;134453.857142857
85P;2022-W40;390;390;134561.142857143
85P;2022-W41;373;373;134598.714285714
85P;2022-W42;418;418;134638.571428571
85P;2022-W43;382;382;134682
85P;2022-W44;361;363.7565;134743
85P;2022-W45;389;390.5921;134805.571428571
85P;2022-W46;403;404.7075;134846.142857143
85P;2022-W47;418;420.3719;134912.571428571
85P;2022-W48;455;461.0072;134937.142857143
85P;2022-W49;444;449.6502;134993.571428571
85P;2022-W50;488;500.9821;135056.714285714
85P;2022-W51;517;538.1955;135027
85P;2022-W52;527;551.8453;135013.142857143
85P;2023-W01;508;529.2848;135005.571428571
85P;2023-W02;557;597.6677;135026.428571429
85P;2023-W03;573;624.5341;134915.857142857
Total;2017-W29;1002;1002;5770254.85714286
Total;2017-W30;983;983;5770887.14285714
Total;2017-W31;982;982;5772986.71428572
Total;2017-W32;1000;1000;5772247.14285714
Total;2017-W33;974;974;5774283.71428571
Total;2017-W34;1018;1018;5776141.14285714
Total;2017-W35;1002;1002;5780131.85714286
Total;2017-W36;984;984;5780552.28571429
Total;2017-W37;1063;1063;5783300.85714286
Total;2017-W38;1033;1033;5784547.14285714
Total;2017-W39;1038;1038;5786959.42857143
Total;2017-W40;1041;1041;5786209.85714286
Total;2017-W41;1052;1052;5787138.14285714
Total;2017-W42;1029;1029;5787554.42857143
Total;2017-W43;999;999;5788162.71428571
Total;2017-W44;1032;1032;5789478.57142857
Total;2017-W45;1012;1012;5788866.71428571
Total;2017-W46;1143;1143;5789486.28571429
Total;2017-W47;1074;1074;5789748
Total;2017-W48;1097;1097;5790892
Total;2017-W49;1131;1131;5790061.28571429
Total;2017-W50;1167;1167;5790194
Total;2017-W51;1124;1124;5789781.57142857
Total;2017-W52;1203;1203;5788383.42857143
Total;2018-W01;1201;1201;5786389
Total;2018-W02;1191;1191;5786988.85714286
Total;2018-W03;1231;1231;5788016.71428571
Total;2018-W04;1174;1174;5788723.85714286
Total;2018-W05;1231;1231;5790643.71428571
Total;2018-W06;1243;1243;5790417
Total;2018-W07;1354;1354;5790963
Total;2018-W08;1322;1322;5791348.28571429
Total;2018-W09;1391;1391;5792092.57142857
Total;2018-W10;1412;1412;5791443.57142857
Total;2018-W11;1320;1320;5791864.57142857
Total;2018-W12;1348;1348;5792204.57142857
Total;2018-W13;1249;1249;5792891.85714286
Total;2018-W14;1230;1230;5792008.28571429
Total;2018-W15;1234;1234;5792614.71428572
Total;2018-W16;1122;1122;5793052.57142857
Total;2018-W17;1073;1073;5793795.42857143
Total;2018-W18;1092;1092;5794350.57142857
Total;2018-W19;1077;1077;5794145
Total;2018-W20;1085;1085;5794522.85714286
Total;2018-W21;1009;1009;5794889.57142857
Total;2018-W22;1052;1052;5795312.28571429
Total;2018-W23;1073;1073;5794996.85714286
Total;2018-W24;1018;1018;5795620.71428572
Total;2018-W25;1014;1014;5795915.85714286
Total;2018-W26;979;979;5796939
Total;2018-W27;1080;1080;5794854.14285714
Total;2018-W28;1031;1031;5795300
Total;2018-W29;1050;1050;5795447.42857143
Total;2018-W30;1160;1160;5795956.28571429
Total;2018-W31;1140;1140;5797038.57142857
Total;2018-W32;1097;1097;5796789.42857143
Total;2018-W33;1076;1076;5798543.28571429
Total;2018-W34;1037;1037;5800446.57142857
Total;2018-W35;1003;1003;5803603.14285714
Total;2018-W36;1040;1040;5804127.28571429
Total;2018-W37;1005;1005;5806895.71428571
Total;2018-W38;1061;1061;5808312.14285714
Total;2018-W39;1008;1008;5809609.42857143
Total;2018-W40;1096;1096;5810083.42857143
Total;2018-W41;1048;1048;5809969
Total;2018-W42;1007;1007;5810636.14285714
Total;2018-W43;1030;1030;5810891.85714286
Total;2018-W44;1067;1067;5811701
Total;2018-W45;1050;1050;5811215.85714286
Total;2018-W46;1010;1010;5811760.28571429
Total;2018-W47;1064;1064;5811957
Total;2018-W48;1062;1062;5812633
Total;2018-W49;1144;1144;5811783
Total;2018-W50;1103;1103;5812020.57142857
Total;2018-W51;1185;1185;5811318.42857143
Total;2018-W52;1080;1080;5810257.57142857
Total;2019-W01;1196;1196;5807648.57142857
Total;2019-W02;1214;1214;5807890.85714286
Total;2019-W03;1192;1192;5808458
Total;2019-W04;1148;1148;5808961.57142857
Total;2019-W05;1275;1275;5809894.71428571
Total;2019-W06;1323;1323;5810463
Total;2019-W07;1254;1254;5811128.14285714
Total;2019-W08;1181;1181;5811369.71428571
Total;2019-W09;1153;1153;5812091.28571429
Total;2019-W10;1114;1114;5811686.42857143
Total;2019-W11;1148;1148;5812191.71428571
Total;2019-W12;1097;1097;5812503.57142857
Total;2019-W13;1087;1087;5813053.57142857
Total;2019-W14;1143;1143;5813219
Total;2019-W15;1075;1075;5813106.42857143
Total;2019-W16;1115;1115;5813607.85714286
Total;2019-W17;1080;1080;5813810.14285714
Total;2019-W18;1106;1106;5814494.85714286
Total;2019-W19;1093;1093;5814305.57142857
Total;2019-W20;1027;1027;5814670
Total;2019-W21;1034;1034;5815252.71428571
Total;2019-W22;1039;1039;5815363.71428572
Total;2019-W23;1064;1064;5814721.85714286
Total;2019-W24;1035;1035;5815256.57142857
Total;2019-W25;1092;1092;5815633.57142857
Total;2019-W26;1070;1070;5815978.85714286
Total;2019-W27;988;988;5815386.28571429
Total;2019-W28;1008;1008;5814808.85714286
Total;2019-W29;1039;1039;5815132.57142857
Total;2019-W30;1042;1042;5815447.28571429
Total;2019-W31;1020;1020;5816530.71428571
Total;2019-W32;1003;1003;5815985.85714286
Total;2019-W33;989;989;5817631.85714286
Total;2019-W34;1062;1062;5819386.14285714
Total;2019-W35;1056;1056;5822900.71428571
Total;2019-W36;1050;1050;5823661
Total;2019-W37;1035;1035;5826507.42857143
Total;2019-W38;1085;1085;5827639.57142857
Total;2019-W39;1076;1076;5828547
Total;2019-W40;1039;1039;5829175.28571429
Total;2019-W41;1103;1103;5828982.71428571
Total;2019-W42;1048;1048;5829708.85714286
Total;2019-W43;1089;1089;5830011
Total;2019-W44;1033;1033;5830863.85714286
Total;2019-W45;1113;1113;5830302
Total;2019-W46;1096;1096;5830924
Total;2019-W47;1125;1125;5831057.14285714
Total;2019-W48;1169;1169;5831736.71428571
Total;2019-W49;1175;1175;5830997.71428571
Total;2019-W50;1160;1160;5831133.71428571
Total;2019-W51;1123;1123;5830535.28571429
Total;2019-W52;1112;1112;5829335
Total;2020-W01;1187;1187;5827147.42857143
Total;2020-W02;1210;1210;5827101.14285714
Total;2020-W03;1129;1129;5827678.85714286
Total;2020-W04;1101;1101;5827649.42857143
Total;2020-W05;1152;1152;5828637.28571429
Total;2020-W06;1142;1142;5828460.28571429
Total;2020-W07;1117;1117;5829103
Total;2020-W08;1098;1098;5829529.57142857
Total;2020-W09;1083;1083;5830479.85714286
Total;2020-W10;1116;1116;5829722.28571429
Total;2020-W11;1149;1149;5830343.42857143
Total;2020-W12;1208;1208;5830470.71428571
Total;2020-W13;1187;1187;5830687.42857143
Total;2020-W14;1233;1233;5831171.42857143
Total;2020-W15;1219;1219;5830421.42857143
Total;2020-W16;1157;1157;5830623.28571429
Total;2020-W17;1154;1154;5830674
Total;2020-W18;1104;1104;5831331.71428571
Total;2020-W19;1086;1086;5830721.85714286
Total;2020-W20;1014;1014;5831025.85714286
Total;2020-W21;1035;1035;5831049
Total;2020-W22;1025;1025;5831389.14285714
Total;2020-W23;1021;1021;5831831
Total;2020-W24;1063;1063;5831717.42857143
Total;2020-W25;1004;1004;5832428.85714286
Total;2020-W26;1044;1044;5832864.71428571
Total;2020-W27;1066;1066;5833119.57142857
Total;2020-W28;1016;1016;5832188
Total;2020-W29;1088;1088;5832615
Total;2020-W30;1010;1010;5832927
Total;2020-W31;1050;1050;5834455.28571429
Total;2020-W32;1011;1011;5833917.57142857
Total;2020-W33;1056;1056;5835425.85714286
Total;2020-W34;1059;1059;5836743.42857143
Total;2020-W35;1014;1014;5838632
Total;2020-W36;1086;1086;5840934.57142857
Total;2020-W37;1059;1059;5841152.57142857
Total;2020-W38;1131;1131;5842654
Total;2020-W39;1033;1033;5843488.71428571
Total;2020-W40;1059;1059;5844982.28571429
Total;2020-W41;995;995;5844901.71428571
Total;2020-W42;1062;1062;5845676.71428571
Total;2020-W43;1164;1164;5846080.14285714
Total;2020-W44;1049;1049;5847143.42857143
Total;2020-W45;1098;1098;5846827.14285714
Total;2020-W46;1168;1168;5847439.14285714
Total;2020-W47;1164;1164;5847743.71428571
Total;2020-W48;1166;1166;5848250.57142857
Total;2020-W49;1171;1171;5848841.14285714
Total;2020-W50;1178;1178;5848497.57142857
Total;2020-W51;1346;1346;5848673.14285714
Total;2020-W52;1290;1290;5847871.14285714
Total;2020-W53;1342;1342;5846783.71428571
Total;2021-W01;1294;1294;5846644.14285714
Total;2021-W02;1304;1304;5846796.85714286
Total;2021-W03;1365;1365;5846893.57142857
Total;2021-W04;1290;1290;5847311.14285714
Total;2021-W05;1292;1292;5847588.57142857
Total;2021-W06;1192;1192;5847235.57142857
Total;2021-W07;1123;1123;5847641.14285714
Total;2021-W08;1037;1037;5848089.85714286
Total;2021-W09;1038;1038;5848742.71428572
Total;2021-W10;1124;1124;5848714
Total;2021-W11;1029;1029;5849376.14285714
Total;2021-W12;1097;1097;5849873.85714286
Total;2021-W13;1040;1040;5850573.71428571
Total;2021-W14;1044;1044;5850186.71428571
Total;2021-W15;1086;1086;5850902
Total;2021-W16;1128;1128;5851302.14285714
Total;2021-W17;1078;1078;5852446.14285714
Total;2021-W18;1174;1174;5852216.42857143
Total;2021-W19;1102;1102;5852699.85714286
Total;2021-W20;1106;1106;5853197
Total;2021-W21;1085;1085;5853744.28571429
Total;2021-W22;1085;1085;5854856.85714286
Total;2021-W23;1113;1113;5854750.57142857
Total;2021-W24;1066;1066;5855605.85714286
Total;2021-W25;1058;1058;5856215.14285714
Total;2021-W26;1126;1126;5857434.85714286
Total;2021-W27;1012;1012;5856831.71428572
Total;2021-W28;1139;1139;5857729.42857143
Total;2021-W29;1111;1111;5858115.14285714
Total;2021-W30;1124;1124;5859891.28571429
Total;2021-W31;1197;1197;5859323.85714286
Total;2021-W32;1134;1134;5860652.71428571
Total;2021-W33;1107;1107;5861883.42857143
Total;2021-W34;1118;1118;5864228.14285714
Total;2021-W35;1114;1114;5866943.85714286
Total;2021-W36;1158;1158;5868041.71428571
Total;2021-W37;1112;1112;5869860
Total;2021-W38;1110;1110;5871333.71428571
Total;2021-W39;1194;1194;5872974
Total;2021-W40;1128;1128;5872823
Total;2021-W41;1225;1225;5873892
Total;2021-W42;1183;1183;5874452.85714286
Total;2021-W43;1196;1196;5875277.71428572
Total;2021-W44;1195;1195;5876324.28571429
Total;2021-W45;1208;1208;5876634
Total;2021-W46;1195;1195;5877450.28571429
Total;2021-W47;1275;1275;5877958.42857143
Total;2021-W48;1284;1284;5878719.14285714
Total;2021-W49;1340;1340;5878530
Total;2021-W50;1328;1328;5879108.57142857
Total;2021-W51;1351;1351;5878688.85714286
Total;2021-W52;1346;1346;5877721.42857143
Total;2022-W01;1430;1430;5877511.28571429
Total;2022-W02;1273;1273;5878065.71428571
Total;2022-W03;1249;1249;5878884.14285714
Total;2022-W04;1239;1239;5879921.71428572
Total;2022-W05;1281;1281;5881360.85714286
Total;2022-W06;1349;1349;5882567.42857143
Total;2022-W07;1341;1341;5883667.28571429
Total;2022-W08;1319;1319;5884294.14285714
Total;2022-W09;1299;1299;5885175.42857143
Total;2022-W10;1294;1294;5885224.14285714
Total;2022-W11;1241;1241;5886254.14285714
Total;2022-W12;1285;1285;5888020.71428571
Total;2022-W13;1255;1255;5890912.42857143
Total;2022-W14;1264;1264;5893178.85714286
Total;2022-W15;1213;1213;5895269.14285714
Total;2022-W16;1136;1136;5897051
Total;2022-W17;1185;1185;5901538.57142857
Total;2022-W18;1156;1156;5904795
Total;2022-W19;1070;1070;5908046.71428572
Total;2022-W20;1126;1126;5908694.14285714
Total;2022-W21;1046;1046;5909993.71428571
Total;2022-W22;1110;1110;5911599.85714286
Total;2022-W23;1092;1092;5911977.42857143
Total;2022-W24;1094;1094;5913629.14285714
Total;2022-W25;1170;1170;5914554.14285714
Total;2022-W26;1190;1190;5916046.28571429
Total;2022-W27;1093;1093;5915210.42857143
Total;2022-W28;1076;1076;5915967.57142857
Total;2022-W29;1165;1165;5916307.57142857
Total;2022-W30;1111;1111;5917077.85714286
Total;2022-W31;1149;1149;5918325.14285714
Total;2022-W32;1125;1125;5918992.42857143
Total;2022-W33;1206;1206;5920916
Total;2022-W34;1166;1166;5923044.14285714
Total;2022-W35;1045;1045;5925861.14285714
Total;2022-W36;1102;1102;5927247.14285714
Total;2022-W37;1067;1067;5929548
Total;2022-W38;1080;1080;5930664.57142857
Total;2022-W39;1140;1140;5932173.14285714
Total;2022-W40;1183;1183;5932145.42857143
Total;2022-W41;1128;1128;5933075.28571429
Total;2022-W42;1186;1186;5933649.42857143
Total;2022-W43;1165;1165;5934396
Total;2022-W44;1053;1068.585;5935452.14285714
Total;2022-W45;1129;1142.989;5935437.85714286
Total;2022-W46;1101;1117.336;5936263.14285714
Total;2022-W47;1186;1203.232;5936736
Total;2022-W48;1211;1231.041;5937938.85714286
Total;2022-W49;1239;1262.071;5937936.28571429
Total;2022-W50;1387;1428.637;5938275.85714286
Total;2022-W51;1458;1516.852;5937404.28571429
Total;2022-W52;1417;1469.81;5936250.28571429
Total;2023-W01;1391;1447.447;5936060.85714286
Total;2023-W02;1399;1474.467;5936050.57142857
Total;2023-W03;1234;1392.204;5935859.28571429
